id,number,name,description,numCredits,numCredits,numCredits
3340,ENGL 519,Second Language Assessment,"Principles of second language assessment including reliability, validity, authenticity and practicality. Constructing, scoring,   interpreting, and evaluating second language tests for a variety of situations.",,3,3
3341,ENGL 520,Computational Analysis of English,Concepts and practices for analysis of English by computer with emphasis on the applications of computational analysis to problems   in applied linguistics such as corpus analysis and recognition of learner language in computer-assisted learning and language   assessment.,,3,3
3342,ENGL 521,Teaching of Literature and the Literature Curriculum,"Examination of the roles of the literary work, reader, and teacher in literary study. Responses to literature. Place of literature in language arts. Study and development of curriculum materials for middle school, high school, and college levels of instruction.",,3,3
3343,ENGL 522,Literary Theory and Criticism,"Examination of the history, logic, and rhetoric of contemporary literary criticism and analysis.",,3,3
3344,ENGL 523,Introduction to Old English Language and Literature,"Introductory study of Old English language and literature in prose and poetry, including extracts from Beowulf. Some attention to Anglo-Saxon culture.",,3,3
3345,ENGL 524,Literacy: Issues and Methods for Nonnative Speakers of English,"Theoretical and practical issues and techniques in the teaching of literacy in a variety of contexts, involving children and adults at basic skill levels and teens and adults in academic and vocational programs.",,3,3
3346,ENGL 525,Methods in Teaching Listening and Speaking Skills to Nonnative Speakers of English,"Theoretical and practical issues and techniques in the teaching of second language pronunciation, listening, and speaking skills. Topics will be relevant to those intending to teach in various contexts involving both K-12 and adult learners.",,3,3
3347,ENGL 526,Computer-Assisted Language Learning,"Theory, research, and practice in computer use for teaching nonnative speakers of English. Methods for planning and evaluating computer-based learning activities.",,3,3
3348,ENGL 527,Discourse Analysis,"Methods and theoretical foundations for linguistic approaches to discourse analysis. Applications of discourse analysis to the study of texts in a variety of settings, including academic and research contexts.",,3,3
3349,ENGL 528,English for Specific Purposes,"Issues and techniques in analyzing, teaching, and assessing English for specific purposes. Topics include theories of specific purpose language use, analysis of learner needs in target language contexts, and corpus-informed syllabus and materials development for teaching and assessment.",,3,3
3350,ENGL 529,Multimedia Content Management,"Strategies for developing and delivering multimodal content via digital media. Focus on the principles of database design, interface development, usability testing, and collaborative content management within professional communication settings.",,3,3
3351,ENGL 531,Topics in the Study of Literature,"Intensive study of literary genres, periods, movements, or themes; e.g., Literature and Historicism, Narrating the Feminine, Allegory.",,3,3
3352,ENGL 532,American Literature to 1865,"Selected texts in American literature from Beginnings to the Civil War. Study may include Native American literature, the literature of European conquest, Colonial and Revolutionary periods, Early Republic, and Jacksonian Era, in critical and cultural contexts.",,3,3
3353,ENGL 533,British Literature to 1830,"Selected texts from the Medieval, Renaissance, Restoration, Eighteenth-Century, and/or Romantic periods, in critical and cultural contexts.",,3,3
3354,ENGL 534,American Literature 1865 to the Present,"Selected texts in American literature from the Civil War to the present. Study may include Realism, Naturalism, Modernism, and Postmodernism, with significant attention to race/ethnicity, gender, and identity, and to contemporary critical views. Range of authors and genres.",,3,3
3355,ENGL 535,British Literature 1830 to the Present,"Selected texts from the Victorian, Edwardian, Modernist, and/or Contemporary periods, in critical and cultural contexts.",,3,3
3356,ENGL 537,Corpus Approaches to Grammatical Analysis,"Corpus-informed analysis of syntax in authentic writing and speech, with emphasis on approaches used in applied linguistics: rationalist, empirical, functional, cognitive, and pedagogical.",,3,3
3357,ENGL 538,Fiction,Selected fiction writers in English; range of authors and genres. Emphasis on both male and female writers; attention to the relationships between fiction and cultural change.,,3,3
3358,ENGL 539,Poetry,"Selected poets writing in English, considered in representative groups.",,3,3
3359,ENGL 540,Drama,"Primary texts in dramatic genres from various literary periods, in critical and cultural contexts. Frequently concentrates on the English Renaissance and the Shakespearean stage.",,3,3
3360,ENGL 541,"Autobiography, Biography, Memoir","Study of lifewriting, e.g., autobiography, biography, memoir, cross-genre writing, autobiographical criticism. Readings may be arranged by period, nationality, or subgenre (e.g., autobiography of childhood experience, celebrity auto/biography).",,3,3
3361,ENGL 542,Document Design for Professional Communication,"Overview of the principles of desktop publishing as practiced in the field of technical communication. Focus on theories of print document design and project management, as well as digital prepress techniques employed to produce documents using external print services. Requires extensive use of current desktop publishing software.",,3,3
3362,ENGL 543,The Study of Environmental Literature,"Intensive study of environmental literary genres, periods, figures, movements, or themes: e.g., Ecofeminism, Imagining Natural Disaster, Material Ecocriticism, Environmental Justice, Posthumanism.",,3,3
3363,ENGL 545,Women's Literature,"Primary texts by women writers; historical, thematic, formal, or theoretical approaches; secondary readings; e.g., Nineteenth-Century Women Writers; American Women's Personal Narratives; Southern Women Writers of the U.S.",,3,3
3364,ENGL 546,Issues in the Study of Literature,"Intensive study of current and emerging topics and problems concerning literature and its relationship to theory and to language study; e.g., Theory of Metaphor; Renegotiating the Canon; Feminist Theory.",,3,3
3365,ENGL 547,The History of Rhetorical Theory I: From Plato to Bacon,"Rhetorical theory from the classical period of ancient Greece and Rome through the Middle Ages to the early Renaissance; attention to its relation to the nature of knowledge, communication, practice, and pedagogy.",,3,3
3366,ENGL 548,The History of Rhetorical Theory II: From Bacon to the Present,"Rhetorical theory from the early modern period (Bacon, Descartes, and Locke) to the present; attention to its relation to the nature of knowledge, communication practice, and pedagogy.",,3,3
3367,ENGL 549,Multimedia Design in Professional Communication,"Rhetorical principles of information-based multimedia design. Practical understanding of computer applications used in multimedia development. Focus on theoretical and practical elements of producing multimedia training programs in both education and industry. Work with interactive hypertext, digital audio, and non-linear video editing.",,3,3
3368,ENGL 550,Creative Writing: Craft and Professional Practice,"A multigenre craft course required of all incoming students in the MFA Program in Creative Writing and Environment. Students develop an understanding of craft and environmental writing across genres (poetry, fiction, nonfiction) as well as learn about editing and publication practice through the lens of a working literary journal, ""Flyway: A Journal of Writing and Environment."" Other course activities include presentations on the production practices of leading literary journals, individual editing projects, pragmatic tips for finding publication outlets for polished creative work, and a field trip to publishing houses.",,3,3
3369,ENGL 551,Master Workshop,"An advanced multi-genre creative writing workshop. Students work intensively on book-length manuscripts of fiction, creative nonfiction, or poetry.",,3,3
3370,ENGL 554,Workshop: Fiction,"Individual projects in fiction on a workshop and conference basis. Readings in short fiction. Discussion of elements of narrative such as plot, point of view, characterization, theme, setting.",,3,3
3371,ENGL 555,Workshop: Nonfiction,"Individual projects in memoir, immersion journalism, character studies, and/or the personal essay on a workshop and conference basis. Readings in creative nonfiction.",,arr,arr
3372,ENGL 556,Workshop: Poetry,"Individual projects in poetry on a workshop and conference basis. Readings in poetry. Discussion of poetic elements such as image, sound, internal structure, rhythm, tone, figurative language.",,3,3
3373,ENGL 557,Studies in Creative Writing,"Special topics course on ideas, issues, and techniques in creative writing. Subject matter may include specific genres, aspects of the creative writing process, or themes of particular interest. Significant readings and written work required; previous workshop experience helpful.",,3,3
3374,ENGL 558,Teaching Creative Writing,"Pedagogical approaches that are effective for grade-school through adult-education creative writing teaching. Writing exercises, workshops, text evaluation, and visits from creative writers.",,3,3
3375,ENGL 559,Creative Writing Teaching Internship,Students assist in an introductory creative writing class. Some supervised teaching but mainly evaluation of submissions and individual conferences. Requirements and grades determined by participating instructors.,,42372,3-Jan
3376,ENGL 560,Environmental Field Experience,"Students spend a term on a project that requires fieldwork. Projects might include working for a federal, state, or private non-profit environmental organization or farm, or living and working in a specified natural area.",,3,3
3377,ENGL 582,Advanced Rhetorical Analysis,Extended practice in close textual analysis of various kinds of rhetorical artifacts. Attention to important theoretical concepts used in rhetorical analysis and to historical controversies over the scope and function of rhetorical analysis.,,3,3
3378,ENGL 586,Visual Rhetoric in Professional Communication,"Rhetorical theory and research in graphics, document design, and related principles of visual communication. Methods of designing texts, data displays, illustrations, and other visual elements in business and technical communication.",,3,3
3379,ENGL 587,"Internship in Business, Technical, and Professional Communication","An opportunity to write, edit, and design business and technical documents in a professional setting.",,42372,3-Jan
3380,ENGL 588,Supervised Practice Teaching in Teaching English as a Second Language,Intensive observation of ESL instruction and supervised practice in teaching learners of English in a context appropriate to the student teacher's goals.   ENGL 588 cannot be used for teacher licensure and cannot be taken during student teaching.,,3,3
3381,ENGL 589,Supervised Practicum in Literary Editing,"Students assume editorial duties for ""Flyway: A Journal of Writing and Environment,"" a nationally distributed literary journal: overseeing a staff, screening submissions, corresponding with authors, editing and proofing, assisting with layout, communicating with the printer, overseeing a contest, and promoting the magazine.",,42372,3-Jan
3382,ENGL 590,Special Topics,,,arr,arr
3383,ENGL 590A,Special Topics: Literature,,,arr,arr
3384,ENGL 590B,Special Topics: Teaching English as a Second Language (TESL)/Applied Linguistics,,,arr,arr
3385,ENGL 590C,Special Topics: Composition and Rhetoric,,,arr,arr
3386,ENGL 590E,Special Topics: Rhetoric and Professional Communication,,,arr,arr
3387,ENGL 590F,Special Topics: Creative Writing,,,arr,arr
3388,ENGL 590G,Special Topics: Applied Linguistics and Technology,,,arr,arr
3389,ENGL 591,Directed Readings,,,arr,arr
3390,ENGL 591A,Directed Readings: Literature,,,arr,arr
3391,ENGL 591B,Directed Readings: Teaching English as a Second Language (TESL)/Applied Linguistics,,,arr,arr
3392,ENGL 591C,Directed Readings: Composition and Rhetoric,,,arr,arr
3393,ENGL 591E,Directed Readings: Rhetoric and Professional Communication,,,arr,arr
3394,ENGL 591F,Directed Readings: Creative Writing,,,arr,arr
3395,ENGL 591G,Directed Readings: Applied Linguistics and Technology,,,arr,arr
3396,ENGL 592,Core Studies in Rhetoric and Professional Communication,Seminar on topics central to the fields of rhetoric and professional communication or composition.,,3,3
3397,ENGL 592A,Core Studies in Rhetoric and Professional Communication: Rhetoric of Science and Technology,Seminar on topics central to the fields of rhetoric and professional communication or composition.,,3,3
3398,ENGL 592B,Core Studies in Rhetoric and Professional Communication: Visual Rhetoric,Seminar on topics central to the fields of rhetoric and professional communication or composition.,,3,3
3399,ENGL 592C,Core Studies in Rhetoric and Professional Communication: Multimodal Theory and Pedagogy,Seminar on topics central to the fields of rhetoric and professional communication or composition.,,3,3
3400,ENGL 592D,Core Studies in Rhetoric and Professional Communication: Critical Cultural Rhetorics,Seminar on topics central to the fields of rhetoric and professional communication or composition.,,3,3
3401,ENGL 595,Graduate Study and Travel,Supervised study of an appropriate area of the discipline while traveling in a foreign country or in the U.S. Special fees apply.,,arr,arr
3402,ENGL 595A,Graduate Study and Travel: Literature,Supervised study of an appropriate area of the discipline while traveling in a foreign country or in the U.S. Special fees apply.,,arr,arr
3403,ENGL 595B,Graduate Study and Travel: Creative Writing,Supervised study of an appropriate area of the discipline while traveling in a foreign country or in the U.S. Special fees apply.,,arr,arr
3404,ENGL 595C,Graduate Study and Travel: Linguistics,Supervised study of an appropriate area of the discipline while traveling in a foreign country or in the U.S. Special fees apply.,,arr,arr
3405,ENGL 595D,Graduate Study and Travel: Rhetoric and Professional Communication,Supervised study of an appropriate area of the discipline while traveling in a foreign country or in the U.S. Special fees apply.,,arr,arr
3406,ENGL 595E,Graduate Study and Travel: Teacher Education,Supervised study of an appropriate area of the discipline while traveling in a foreign country or in the U.S. Special fees apply.,,arr,arr
3407,ENGL 599,Creative Component,,,3,3
3408,ENGL 602,Research Design in Rhetoric and Professional Communication,A workshop for advanced graduate students in rhetoric and professional communication. Focus on qualitative or quantitative methods.,,3,3
3409,ENGL 602A,Research Design in Rhetoric and Professional Communication: Qualitative,A workshop for advanced graduate students in rhetoric and professional communication.,,3,3
3410,ENGL 602B,Research Design in Rhetoric and Professional Communication: Quantitative,A workshop for advanced graduate students in rhetoric and professional communication.,,3,3
3411,ENGL 603,Seminar in Advanced Pedagogy in Rhetoric and Composition: Theory and Research,"Exploration of relationships between theory and practice in current pedagogy. Intensive examination of contemporary theories of poststructuralism, new media, feminism, postcolonialism, or cultural studies  and their impact on current pedagogical practice. Participation in pedagogical research and theory building.",,3,3
3412,ENGL 611,Topics in Rhetorical Theory,"Rhetorical theory, criticism, and/or practice in relation to an historical period or a particular theoretical issue.",,3,3
3413,ENGL 623,Research Methods in Applied Linguistics,"Survey of research traditions in applied linguistics. Focus on theoretical and practical aspects of quantitative and qualitative approaches to applied linguistic study, including experimental and quasiexperimental methods, classroom observation and research, introspective methods, elicitation techniques, case studies, interactional analysis, ethnography, and program evaluation. Computational tools and resources for linguistic research will be highlighted.",,3,3
3414,ENGL 626,Computer-Assisted Language Testing,Principles and practice for the use and study of computers and the Internet in second language assessment.,,3,3
3415,ENGL 630,Seminar in Applied Linguistics,"Topic changes each semester. Topics include advanced methods in natural language processing, technology and literacy in a global context, feedback in CALL programs, technology and pronunciation, and advances in language assessment.",,3,3
3416,ENGL 631,Organization and Administration of Multimodal Writing Programs,"Survey of the major components of writing instruction in academic and nonacademic settings. History, theory, organization, and evaluation of writing programs. Guided observation of writing program functions at various institutions and businesses.",,3,3
3417,ENGL 688,Practicum in Technology and Applied Linguistics,"Focus on integrating theoretical knowledge with practical expertise. Assess client needs; develop, integrate, and evaluate solutions.   Practical understanding of computer applications used in multimedia development. Create web-based or CD-ROM-based   multimedia materials. Work with advanced authoring applications.",,3,3
3418,ENGL 699,Research,Research.,,arr,arr
3419,ENT 201,Introduction to Insects,5 weeks. Classroom section spring only. World Wide Web section of course offered summer and fall semesters. Biological and ecological aspects of insects.,,1,1
3420,ENT 211,Insects and Society,11 weeks. Classroom section spring only. World Wide Web section offered fall semester.  The importance of insects in human well-being. Insect-human interactions. Primarily for nonscience and nonagriculture majors.,,2,2
3421,ENT 283,Pesticide Application Certification,"Core background and specialty topics in agricultural, and horticultural pesticide applicator certification. Students can select certification categories and have the opportunity to obtain pesticide applicator certification at the completion of the course. Commercial pesticide applicator certification is emphasized.",,2,2
3422,ENT 370,Insect Biology,"Structure, physiology, evolution, behavior, life histories, and recognition of insects. Collection required.",,3,3
3423,ENT 371I,Introduction to Insect Ecology,"Field and laboratory study of insects, their diversity, life history; emphasis on ecology and behavior.",,4,4
3424,ENT 372,Livestock Entomology,"Classroom and off-campus videotape sections. 12 weeks. Recognition, biology, behavior, economic importance, and   management of insects and other arthropods affecting livestock and poultry production.",,2,2
3425,ENT 374,Insects and Our Health,"Identification, biology, and significance of insects and arthropods that affect the health of humans and animals, particularly those that are vectors of disease.",,3,3
3426,ENT 374L,Insects and Our Health Laboratory,"Laboratory and field techniques for studying medical or public health entomology, including: collection, identification and maintenance of medically significant arthropods and experimental design and execution related to the biology of arthropods or arthropod-pathogen interactions.",,1,1
3427,ENT 375,Plant Protection Using Natural Enemies,"Overview of the biology, ecology, and classification of insect pathogens, predators, and parasitoids. Discussion of   the use of these organisms in plant protection, including an emphasis on genetic alteration of natural enemies.",,3,3
3428,ENT 376,Fundamentals of Entomology and Pest Management,"Introduction to entomology and insect-pest management, including life processes, ecology, economics, tactics of population suppression, and ecological backlash.",,3,3
3429,ENT 410,Insect-Virus Interactions: a Molecular Perspective,"Overview of insect-virus interactions including insect immunity to viruses, genetic enhancement of viral insecticides, transgenic mosquitoes, disruption of virus transmission, and the role of insect and virus genomics in combating viral disease of both human and agricultural importance.",,2,2
3430,ENT 425,Aquatic Insects,"Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes.",,3,3
3431,ENT 450,Pesticides in the Environment,"Fate and significance of pesticides in soil, water, plants, animals, and the atmosphere.",,2,2
3432,ENT 452,Integrated Management of Diseases and Insect Pests of Turfgrasses,Identification and biology of important diseases and insect pests of turfgrasses. Development of integrated pest management programs in various turfgrass environments.,,3,3
3433,ENT 466,Ecosystem Service Management,"Land use and conservation techniques for improving ecosystem services including: pollination of crops, biological control of pests, prevention of erosion and water quality improvement.",,3,3
3434,ENT 471,Insect Ecology,"The contribution of insects to ecosystem function is staggering.  This course will focus on insect population ecology, predator-prey interaction and chemical ecology.  The role of insects in nutrient cycling, pollination and pest management will be discussed with case studies used to highlight the applied nature of insect ecology and its relationship to agriculture.",,3,3
3435,ENT 490,Independent Study,A maximum of 9 credits of all (university-wide) 490 credits may be applied toward graduation.,,42372,3-Jan
3436,ENT 490E,Independent Study: Research or work experience.,A maximum of 9 of all (university-wide) 490 credits may be used toward graduation.,,42372,3-Jan
3437,ENT 490U,Independent Study: Laboratory teaching experience,A maximum of 9 of all (university-wide) 490 credits may be used toward graduation.,,42372,3-Jan
3438,ENT 510,Insect-Virus Interactions: a Molecular Perspective,"Overview of insect-virus interactions including insect immunity to viruses, genetic enhancement of viral insecticides, transgenic mosquitoes, disruption of virus transmission, and the role of insect and virus genomics in combating viral disease of both human and agricultural importance.",,2,2
3439,ENT 511,Integrated Management of  Tropical Crops,"Applications of Integrated Crop Management principles (including plant pathology, entomology, and horticulture) to tropical cropping systems. Familiarization with a variety of tropical agroecosystems and Costa Rican culture is followed by 10-day tour of Costa Rican agriculture during spring break, then writeup of individual projects.",,3,3
3440,ENT 525,Aquatic Insects,"Morphology, ecology, diversity, and significance of aquatic insects, with emphasis on the collection, curation and identification of taxa in local streams and lakes.",,3,3
3441,ENT 530,Ecologically Based Pest Management Strategies,"Durable, least-toxic strategies for managing weeds, pathogens, and insect pests, with emphasis on underlying ecological processes.",,3,3
3442,ENT 550,Pesticides in the Environment,"Fate and significance of pesticides in soil, water, plants, animals, and the atmosphere.",,2,2
3443,ENT 552,Integrated Management of Diseases and Insect Pests of Turfgrasses,Identification and biology of important diseases and insect pests of turfgrasses. Development of integrated pest management programs in various turfgrass environments.,,3,3
3444,ENT 555,Insect Physiology,"Life processes of the insects, including reviews of current problems in insect physiology.",,4,4
3445,ENT 566,Ecosystem Service Management,"Land use and conservation techniques for improving ecosystem services including: pollination of crops, biological control of pests, prevention of erosion and water quality improvement.",,3,3
3446,ENT 568,Advanced Systematics,"Principles and practice of systematic biology; taxonomy, nomenclature and classification of plants and animals; sources and interpretation of systematic data; speciation; fundamentals of phylogenetic systematics.",,3,3
3447,ENT 570,Plant-Insect Interaction,"Physiological, behavioral, ecological, and evolutionary factors that govern interactions between insects and plants, applications of this knowledge to agriculture, and important results from the study of natural systems. Additional topics covered during the semester include: tritrophic interactions, biological control of plants by insects, and pollination biology. Student-led discussions and draws on both the primary and secondary literature.",,2,2
3448,ENT 571,Insect Ecology,"The contribution of insects to ecosystem function is staggering.  This course will focus on insect population ecology, predator-prey interaction and chemical ecology.  The role of insects in nutrient cycling, pollination and pest management will be discussed with case studies used to highlight the applied nature of insect ecology and its relationship to agriculture.",,3,3
3449,ENT 574,Medical Entomology,"Identification, biology, and significance of insects and other arthropods that attack people and animals, particularly those that are vectors of disease.",,4,4
3450,ENT 575,Plant Protection Using Natural Enemies,"Overview of the biology, ecology, and classification of insect pathogens, predators, and parasitoids. Discussion of   the use of these organisms in plant protection, including an emphasis on genetic alteration of natural enemies.",,3,3
3451,ENT 576,Systematic Entomology,"Classification, distribution, and natural history of insects, including fundamentals of phylogenetic systematics, biogeography, taxonomic procedures, and insect collection and curation.",,5,5
3452,ENT 590,Special Topics,,,42372,3-Jan
3453,ENT 590A,Special Topics: Biological Control and Pathology.,,,42372,3-Jan
3454,ENT 590B,Special Topics: Chemical Ecology and Behavior.,,,42372,3-Jan
3455,ENT 590C,Special Topics: Ecology and Pest Management.,,,42372,3-Jan
3456,ENT 590D,Special Topics: Evolution and Systematics.,,,42372,3-Jan
3457,ENT 590E,Special Topics: Special Research Topics.,,,42372,3-Jan
3458,ENT 590F,Special Topics: Medical and Veterinary Entomology.,,,42372,3-Jan
3459,ENT 590G,Special Topics: Molecular Entomology.,,,42372,3-Jan
3460,ENT 590H,Special Topics: Physiology and Biochemistry.,,,42372,3-Jan
3461,ENT 590I,Special Topics: Toxicology,,,42372,3-Jan
3462,ENT 590K,Special Topics: Teaching Experience.,,,42372,3-Jan
3463,ENT 590L,Special Topics: Extension Internship.,,,42372,3-Jan
3464,ENT 590M,Special Topics: Immature Insects.,,,42372,3-Jan
3465,ENT 590N,Special Topics: Population Genetics.,,,42372,3-Jan
3466,ENT 600,Seminar,Presentation of research results.,,1,1
3467,ENT 675,Insecticide Toxicology,"Principles of insecticide toxicology; classification, mode of action, metabolism, and environmental effects of insecticides.",,3,3
3468,ENT 699,Research,,,arr,arr
3469,ENSCI 110,Orientation to Environmental Science,Overview of Environmental Science curriculum and discussion of professional opportunities.   Offered on a satisfactory-fail basis only.,,1,1
3470,ENSCI 201,Introduction to Environmental Issues,"Discussion of current and emerging environmental issues such as human population growth, energy use, loss of biodiversity, water resources, and climate change.",,2,2
3471,ENSCI 202,Exploration of Environmental and Sustainability Issues,Exploration of specific environmental and sustainability issues; designed to complement ENSCI 201.   Offered on a satisfactory-fail basis only.,,1,1
3472,ENSCI 203,Exploration of Environmental Science,Continued exploration of specific environmental science issues developed in ENSCI 202.  Topics may vary in different years.   Offered on a satisfactory-fail basis only.,,1,1
3473,ENSCI 250,Environmental Geography,"The distribution, origins and functions of the earth's physical systems and the spatial relationship between human activity and the natural world.",,3,3
3474,ENSCI 251,Biological Processes in the Environment,Plant and microbial processes in environmental systems including their interactions with human activities.,,3,3
3475,ENSCI 301,Natural Resource Ecology and Soils,"Effects of environmental factors on ecosystem structure and function using forest, prairie and agricultural ecosystems as models. Special emphasis is given to soil-forming factors and the role of soil in nutrient and water cycling and ecosystem dynamics.  Additional emphasis is given to human influences on natural ecosystems and the role of perennial plant communities in agricultural landscapes.",,4,4
3476,ENSCI 312,Ecology,"Fundamental concepts and principles of ecology dealing with organisms, populations, communities and ecosystems. Laboratory and field exercises examine ecological principles and methods as well as illustrate habitats.",,4,4
3477,ENSCI 312I,Ecology,"An introduction to the principles of ecology at the population, community and ecosystem level. Field studies of local lakes, wetlands and prairies are used to examine factors controlling distributions, interactions, and roles of plants and animals in native ecosystems.",,4,4
3478,ENSCI 324,Energy and the Environment,"Renewable and non-renewable energy resources. Origin, occurrence, and extraction of fossil fuels. Nuclear, wind, geothermal, biomass, hydroelectric, and solar energy. Biofuels. Energy efficiency. Environmental effects of energy production and use, including air pollution, acid precipitation, coal ash, mountaintop removal mining, oil drilling, hydraulic fracturing, groundwater contamination, nuclear waste disposal, and global climate change. Carbon sequestration and geoengineering solutions for reducing atmospheric CO2 concentrations.",,3,3
3479,ENSCI 345,Natural Resource Photogrammetry and Geographic Information Systems,"Measurement and interpretation of aerial photos in resource management. Introduction to Geographic Information Systems (GIS) using ArcGIS including digitizing, development and query of attribute tables, georeferencing, and use of multiple GIS layers in simple spatial analyses.",,3,3
3480,ENSCI 360,Environmental Soil Science,Application of soil science to contemporary environmental problems; comparison of the impacts that different management strategies have on short- and long-term environmental quality and land development. Emphasis on participatory learning activities.,,3,3
3481,ENSCI 370,GIS for Ecology and Environmental Science,"Introduction to geographic information systems (GIS) with emphasis on ecological and environmental applications. No prior GIS experience required. Guided, individualized study of topics based on student background and interest. For students with prior experience, topics and activities are selected to build upon any previous experience and minimize duplication to previous GIS coursework. Potential topics include: basic concepts of GIS, data structures, database management, spatial analysis, modeling and visualization of ecological and environmental data. Case studies in ecological and environmental applications using ArcGIS.   Offered on a satisfactory-fail basis only.",,42375,6-Jan
3482,ENSCI 381,Environmental Systems I:  Introduction to Environmental Systems,Introduction to the structure and function of natural environmental systems. Emphasis on the analysis of material and energy flows in natural environmental systems and the primary environmental factors controlling these systems.,,42433,4-Mar
3483,ENSCI 382,Environmental Systems II: Analysis of Environmental Systems,Continuation of ENSCI 381. Systems approach to the analysis of material and energy flows in natural environmental systems and the primary environmental factors controlling these systems.,,3,3
3484,ENSCI 384,Introduction to Ecosystems,Biological and physical processes affecting material and energy flows in natural and managed ecosystems. Understanding and predicting climate and management impacts on ecosystem services and sustainability.,,3,3
3485,ENSCI 390,Internship in Environmental Science,Supervised off-campus work experience in the field of environmental science.   Offered on a satisfactory-fail basis only.,,arr,arr
3486,ENSCI 391,Apprenticeship,"Practical experience in an approved setting such as a research laboratory, government office, or private office.   Offered on a satisfactory-fail basis only.",,arr,arr
3487,ENSCI 402,Watershed Hydrology,"Examination of watersheds as systems, emphasizing the surface components of the hydrologic cycle.  Combines qualitative understanding of hydrological processes and uncertainty with quantitative representation.  Laboratory emphasizes field investigation and measurement of watershed processes.",,3,3
3488,ENSCI 402I,Watershed Hydrology and Surficial Processes,"Effects of geomorphology, soils, and land use on transport of water and materials (nutrients, contaminates) in watersheds. Fieldwork will emphasize investigations of the Iowa Great Lakes watershed.",,4,4
3489,ENSCI 404,Global Change,"Recent changes in global biogeochemical cycles and climate; models of future changes in the climate system; impacts of global change on agriculture, water resources and human health; ethical issues of global environmental change.  Also offered online Alt. F, even-numbered years.",,3,3
3490,ENSCI 405,Environmental Biophysics,"A description of the physical microenvironment in which organisms live. Emphasis on the movement of energy (heat and radiation) and mass (water and carbon) among organisms, the soil, and atmosphere.  Applications to humans, other animals, plants, and plant communities.",,3,3
3491,ENSCI 406,World Climates,"Distribution and causes of different climates around the world. Effects of climate and climate variations on human activities including society, economy and agriculture. Current issues such as climate change and international efforts to assess and mitigate the consequences of a changing climate.  Semester project and in-class presentation required.",,3,3
3492,ENSCI 407,Watershed Management,"Managing human impacts on the hydrologic cycle. Field and watershed level best management practices for modifying the impacts on water quality, quantity and timing are discussed. Field project includes developing a management plan using landscape buffers.",,4,4
3493,ENSCI 408,GIS and Natural Resources Management,"Introduction to fundamental concepts and applications of GIS in natural resources management with specific focus on watersheds. Topics include: basic GIS technology, data structures, database management, spatial analysis, and modeling; visualization and display of natural resource data. Case studies in watershed and natural resource management using ArcView GIS.",,3,3
3494,ENSCI 409,Field Methods in Hydrogeology,"Introduction to field methods used in groundwater investigations. In-field implementation of pumping tests, slug tests, monitoring well installation and drilling techniques, geochemical and water quality sampling, seepage meters, minipiezometers, stream gaging, and electronic instrumentation for data collection. Field trips to investigate water resource, water quality, and remediation projects.",,3,3
3495,ENSCI 411,Hydrogeology,"Physical principles of groundwater flow, nature and origin of aquifers and confining units, well hydraulics, groundwater modeling, and contaminant transport. Lab emphasizes applied field and laboratory methods for hydrogeological investigations.",,4,4
3496,ENSCI 414,Applied Groundwater Flow Modeling,"Introduction to the principles of modeling groundwater flow systems. Finite-difference and analytic-element methods, spreadsheet models, boundary conditions, calibration, sensitivity analysis, parameter estimation, particle tracking, and post-audit analysis. Application of MODFLOW to regional flow-system analysis. Computer laboratory emphasizes assigned problems that illustrate topics discussed in the course.",,3,3
3497,ENSCI 415,Paleoclimatology,"Introduction to mechanisms that drive climate, including the interplay between oceanic and atmospheric circulation and fluctuation in Earth's orbital parameters. Examination and analysis of past climate records ranging from historical documentation to ecological and geochemical proxies (e.g. tree ring analysis; O and C isotopes of skeletal carbonates and soils). Dating methods used to constrain and correlate climatic periods; utility of computer models to reconstruct past climates and predict future climate change. Emphasis placed on paleoclimatology and paleoecology of the late Quaternary (last ~1 million years).",,3,3
3498,ENSCI 416,Hydrologic Modeling and Analysis,"Study of the basic principles of hydrologic modeling, including rainfall-runoff analysis, lumped and distributed modeling, conceptual and physical models, parameter estimation and sensitivity analysis, input and validation data, uncertainty analysis, and the use of models in surface water hydrology. A range of common models are applied to study hydrologic topics such as flood forecasting and land use change impacts. Previous experience with Matlab or other programming language is needed.",,3,3
3499,ENSCI 418,Stream Ecology,"Biological, chemical, physical, and geological processes that determine the structure and function of flowing water ecosystems. Current ecological theories as well as applications to stream management for water quality and fisheries.",,3,3
3500,ENSCI 419,Environmental Geochemistry,"Geochemistry of natural waters and water-rock interactions. Acid-base equilibria, carbonate chemistry and buffer systems, mineral dissolution and precipitation, sorption, ion exchange, and redox reactions. Introduction to thermodynamics and kinetics. Laboratory emphasizes chemical analysis of waters and computer modeling.",,3,3
3501,ENSCI 420,Environmental Engineering Chemistry,"Principles of chemical and physical phenomena applicable to the treatment of water and wastewater and natural waters; including chemical equilbria, reaction kinetics, acid-base equilibria, chemical precipitation, redox reactions, and mass transfer principles. Individual laboratory practicals and group projects required.",,3,3
3502,ENSCI 422I,Prairie Ecology,Basic patterns and underlying physical and biotic causes of both regional and local distributions of plants and animals of North American prairies; field and laboratory analyses and projects.,,4,4
3503,ENSCI 424,Air Pollution,1 cr. per module. Module A prereq for all modules; module B prereq for D and E.,,1,1
