id,number,name,description,prereqs,numCredits,departmentID
2891,"ECON 502",Macroeconomics,"Models of aggregate supply and demand, theories of consumption and investment, money supply and demand, inflation, rational expectations, stabilization policy, financial markets, and international finance.","ECON 302, credit or enrollment in ECON 500 or equivalent background in calculus and statistics",4,54
2892,"ECON 509","Applied Numerical Methods in Economics","Use of numerical techniques to solve economic problems. Numerical differentiation and integration numeric solutions of systems of equations, static and dynamic optimization problems including unconstrained optimization, maximum likelihood methods, general nonlinear programming methods, dynamic programming and optimal control, numerical methods for solving functional equations.","ECON 500, ECON 501; or ECON 600, ECON 601",3,54
2893,"ECON 510","Experimental Economics","Introduction to experimental economics and major subject areas addressed by laboratory and field experiments. Exploration of experimental methods by concentrating on series of experiments. Applications include individual decision-making, behavioral game theory, markets, behavioral labor, public and development economics, social network, and neuroeconomics. Research project.","ECON 501 or ECON 601",3,54
2894,"ECON 520","Labor Supply and Human Capital Formation","Labor supply decisions and empirical analysis for agricultural operators and other self-employed and wage-earning households; multiple job holding; resource allocation in productive households; human capital formation by households, firms, and public institutions, which includes schooling, on-the-job training, migration, health, research, raising of children, and implications for household income and welfare; applications to problems in rural areas of developing and developed countries.","ECON 501 or ECON 601",3,54
2895,"ECON 521","Labor Markets","Analysis of labor demand and market determination of wages and employment; analysis of distortions in labor markets due to non-competitive forces, legislation, and discrimination; wage inequality, compensation and work incentives; compensating differentials; microeconomic analysis of unemployment and job search.","ECON 501 or ECON 601",3,54
2896,"ECON 532","Managerial Economics for the Global Organization","Applications of microeconomic theory and decision analysis for firms operating in U.S. and internationally. Topics include demand & supply, consumer choice theory, production and cost theory, short run and long run business decisions, input cost and human capital differences across countries, empirical estimation of demand and supply, pricing, exchange rates, government and business, market structures and strategy.","ECON 101 and enrollment in MBA or BAS program; not for economics majors",3,54
2897,"ECON 533","Economic and Business Decision Tools","Team taught by faculty in the Department of Economics and the College of Business, this course focuses on applied economic and business tools for decision making. The topics include: Monte Carlo analysis with applications to option pricing and insurance mechanism design, portfolio analysis using existing standard spreadsheet software and add-ons, dynamic programming tools for inventory management and sequential decisions, discrete choice modeling and statistical bootstrapping, and financial performance evaluation using commercially available software.","ECON 501 or ECON 532",3,54
2898,"ECON 537","Commodity Markets: Analysis and Strategy","Analysis of exchange-traded and over-the-counter commodity markets, their functions and performance. Evaluation of hedging, speculation, and arbitrage strategies. Commodity transformation over space and time. Valuation of derivatives and comparison with derivatives on financial assets. Efficiency and the role of information in commodity markets. Market regulation.","ECON 501 or ECON 532 or ECON 601, ECON 571 or STAT 326",3,54
2899,"ECON 545","Public Economics","Optimal taxation; excess burden; partial and general equilibrium analysis of tax incidence; social insurance; effects of taxation on labor supply and savings; economics of the health sector.","ECON 501 or ECON 601",3,54
2900,"ECON 560","Agricultural, Food, and Trade Policy","Description and analysis of economic problems of U.S. agriculture. Explanation and economic analysis of government policies and programs to develop agriculture, conserve agricultural resources, address consumer food concerns, stabilize farm prices, and raise farm incomes. The influence of macropolicy, world economy, international trade, and bioenergy on U.S. agriculture.","ECON 301 or ECON 501",3,54
2901,"ECON 571","Intermediate Econometrics","Single and multiple equation regression models; dummy explanatory variables; serial correlation; heteroskedasticity; distributed lags; qualitative dependent variables; simultaneity. Use of econometric models for tests of economic theories and forecasting.","ECON 500",3,54
2902,"ECON 576","Spatial Economics","Analysis of location choice by firms, employees, and households emphasizing the role of spatial variations in agglomeration economies, economies of scale, distance, transport, endowments, amenities, and local government. Models of land use, urban form, spatial competition, central place theory, and migration. Techniques of discrete choice analysis, statistical analysis of categorical data, urban system modeling, and interregional computable general equilibrium.","ECON 501 or ECON 601",3,54
2903,"ECON 580","Intermediate Environmental and Resource Economics","Theories of natural resource utilization and allocation. Externalities, public goods, and environmental quality. Renewable energy, biofuels, land use change and life cycle analysis of carbon, and sustainability and resource conservation. Methodologies for analyzing natural resource and environmental problems and evaluating resource policies.","ECON 301 or ECON 501",3,54
2904,"ECON 581","Advanced Environmental Economics","Interrelationships of natural resource use and the environment. Applied welfare and benefit-cost analyses. Externalities and pollution abatement. Nonmarket valuation of resources. Property rights. Legal and social constraints. Policy approaches.","ECON 501 or ECON 601",3,54
2905,"ECON 590","Special Topics","Offered on a satisfactory-fail basis only.",,1-5,54
2906,"ECON 599","Creative Component","Offered on a satisfactory-fail basis only.",,1-5,54
2907,"ECON 600","Quantitative Methods in Economic Analysis II","Unconstrained and equality- and inequality-constrained optimization; the Kuhn-Tucker formulation; abstract spaces; dynamic programming; dynamical systems.","ECON 500",4,54
2908,"ECON 601","Microeconomic Analysis I","Economic theory and methodology; theory of consumer behavior, theory of the competitive firm, supply and factor demand; duality relations in consumer and producer theory, welfare change measures; partial equilibrium analysis, perfect competition, monopoly; choice under uncertainty, the expected utility model, risk aversion; insurance, portfolio and production decisions under risk.","ECON 301, previous or concurrent enrollment in 600 and permission of Director of Graduate Education",4,54
2909,"ECON 602","Macroeconomic Analysis","Neoclassical aggregate growth models; the overlapping generations model; endogenous growth models; equilibrium business cycle theories; equilibrium job search and matching; models of money; fiscal and monetary policy; income and wealth distribution.","ECON 301, ECON 302, previous or concurrent enrollment in 600 and permission of Director of Graduate Education",4,54
2910,"ECON 603","Microeconomic Analysis II","General equilibrium analysis, efficiency, and welfare; market failures, externalities, and the theory of the second best; introduction to game theory; adverse selection, signaling, screening and moral hazard.","ECON 601, ECON 602 and permission of Director of Graduate Education",4,54
2911,"ECON 604","Advanced Macroeconomic Analysis","Topics will be selected from: new Keynesian approaches to business cycle theory; endogenously generated business cycles; models of credit and financial intermediation; mechanism design and time inconsistency issues; political economy models; heterogeneous-agent models with strategic interaction; path dependence, network effects, and lock-in; economies as evolving self-organizing systems.","ECON 601, ECON 602 and permission of Director of Graduate Education",4,54
2912,"ECON 605","Advanced Topics in Microeconomics","Selected topics in microeconomic theory of current significance to the profession.","ECON 603",3,54
2913,"ECON 606","Advanced Topics in Macroeconomics","Selected topics in macroeconomic theory of current significance to the profession.","ECON 603, and credit or current enrollment in ECON 604",3,54
2914,"ECON 615","Theoretical Industrial Organization","Theoretical analysis of traditional topics in industrial organization. Review of game theory. Monopoly and oligopoly theory, price discrimination, product differentiation, research and development, diffusion of innovation, network externalities, and asymmetric information.","ECON 603",3,54
2915,"ECON 616","Empirical Methods in Industrial Organization","Empirical methods in industrial organization. Measurement of market power. Discrete choice models of product differentiation. Empirical studies of price dynamics, entry, collusion, price discrimination, technology adoption, asymmetric information, and auctions.","ECON 603, ECON 671",3,54
2916,"ECON 618","Game Theory","Theoretical analysis and applications of strategic games, extensive form games, and cooperative games. Nash equilibrium, correlated equilibrium, Bayesian games, subgame perfect equilibrium, the core, evolutionary equilibrium, repeated games with finite automata, and common knowledge.","ECON 603, or ECON 501 and permission of instructor",3,54
2917,"ECON 641","Agricultural Economics I","Demand and supply for agricultural products, market equilibrium models, implications of government policies on the agricultural sector, evaluation of research and development policies in agriculture, and biofuel and energy policy analysis. Commodity promotion programs, food safety and consumersâ€™ valuation of product attributes.","ECON 603",3,54
2918,"ECON 642","Agricultural Economics II","Advanced treatment of topics and models in agricultural economics with emphasis on stochastic models. Topics will include analysis of risk in decision making by consumers, firms and farms; analysis of risk management strategies for farmers; the economics of commodity storage; analysis of the impact of biofuels on commodity prices; and models of agricultural inputs and outputs.","ECON 603",3,54
2919,"ECON 653","Financial Economics","Review of decision-making under uncertainty. Portfolio Theory. Theoretical foundations of asset valuation models: capital asset pricing model (CAPM), arbitrage pricing theory (APT), representative agent models, pricing of derivative securities. Complete and incomplete asset markets, credit markets, financial intermediaries, the role of government in the financial sector. Market frictions, crashes, bubbles. Applications of asset valuation models, with emphasis on their testable implications.","ECON 603, ECON 672. Recommended: ECON 674, STAT 551",3,54
2920,"ECON 655","International Trade","Theories of international trade; welfare and distributional aspects of trade and commercial policies. Optimal trade policies in the presence of domestic distortions; strategic trade policy; international trade and economic growth.","ECON 603",3,54
2921,"ECON 657","International Finance","The intertemporal approach to current account determination; non-traded goods and the real exchange rate; fiscal policy in the open economy; monetary approach to balance of payments and exchange rate determination; sticky price models of the open economy; exchange-rate based stabilizations; capital inflows; financial and balance of payments crises; international business cycles.","ECON 602",3,54
2922,"ECON 671","Econometrics I","Probability and distribution theory for univariate and multivariate normal random variables, introduction to the theory of estimators for linear models, hypothesis testing and inference, introduction to large sample properties of estimators; derivation of common estimators and their properties for the classical and general multiple regression models, hypothesis testing, forecasting, implications of specification errors - missing data, left-out regressors, measurement error, stochastic regressors.","ECON 501 and STAT 447 or STAT 542",4,54
2923,"ECON 672","Econometrics II","Identification, estimation, and evaluation of systems of simultaneous equations; qualitative choice and limited dependent variable models; introduction to time series methods and applications, including alternative variance specifications.","ECON 671",4,54
2924,"ECON 673",Microeconometrics,"Econometric treatment of models arising in microeconometric applications. Methods are primarily concerned with the analysis of cross-section data. Topics may include: systems of demand equations in panel data settings, random utility models of discrete choices, production possibilities frontier estimation, and discrete/continuous models of participation and consumption.","ECON 672, ECON 601",3,54
2925,"ECON 674",Macroeconometrics,"Time-series econometric techniques and their application to macroeconomics and financial markets. Techniques may include GARCH and ARCH-M models, unit-root tests, nonlinear adjustment models, structural VARs, and cointegration tests.","ECON 672, ECON 602",3,54
2926,"ECON 675","Advanced Topics in Econometrics","Advanced treatment of issues important in econometrics. Topics chosen from asymptotic theory, nonlinear estimation, Bayesian and robust econometrics, econometric time series, limited dependent variables and censored regression models, nonparametric and semiparametric methods, bootstrapping and Monte Carlo techniques, etc.","ECON 672 or STAT 543",3,54
2927,"ECON 680","Advanced Resource Economics","Dynamic allocation of scarce, exhaustible, and renewable natural resources, including minerals and energy, soil, water, forests, and fish. Social versus private decisions. Market and nonmarket considerations. Technological change. Regulation. Dynamics and uncertainty.","ECON 603",3,54
2928,"ECON 690","Advanced Topics","Offered on a satisfactory-fail basis only.",,1-5,54
2929,"ECON 691","Third-Year Paper","Under the direction of the major professor, Ph.D. students write a formal research paper as an introduction to the dissertation research process.   Offered on a satisfactory-fail basis only.",,3,54
2930,"ECON 693",Workshops,"Workshop in economics.   Offered on a satisfactory-fail basis only.",,3,54
2931,"ECON 699","Research for Thesis or Dissertation","Offered on a satisfactory-fail basis only.",,arr,54
2932,"EDADM 541","Principles of Educational Leadership","Basic principles of educational organizations, including an understanding of organizational behavior and theoretical approaches to administration. Exploration of substantive elements related to school reform, such as leadership, the change process, current issues in education, and developing a shared vision and mission.","Teacher licensure and permission of instructor",3,55
2933,"EDADM 551","Supervision for Learning Environments","Study of effective classroom instructional practices that reflect current principles of learning. Understanding and   practice of supervisory techniques that support teachers in improving the teaching and learning process,   including skills in observational data collection, data analysis, collaboration, and conferencing skills.","EDADM 541",3,55
2934,"EDADM 552","Current Issues in Site-Level Leadership","Essential tasks of building-level leadership and management in contemporary school settings, including: curriculum and organizational structure, theory and practice of scheduling, financial management, roles and responsibilities of governance, communication and public relations skills, home/parental involvement and relationships, project and crisis management, technology integration, school climate and culture, effective student support programs such as counseling and guidance, attendance and discipline.","EDADM 541",3,55
2935,"EDADM 554","Leading School Reform","Study of principles of transformational leadership and collaborative decision-making skills. Leadership activities that facilitate the development of a school culture that embraces change and school reforms that result in high quality schools dedicated to improved student achievement.","EDADM 541",3,55
2936,"EDADM 556","School Systems as Learning Cultures","Practical and theoretical perspectives on school administrative problems from critical pedagogical studies and research. Exploration of related issues such as cultural literacy, forms of authority and control, and other historical problems of schools in dealing with minorities and culturally different persons.","EDADM 541",3,55
2937,"EDADM 557","Human Resource Development for Learning","Leadership theory and practice that focuses on the professional development of school staff to promote improved student learning. Principles of school personnel evaluation; legal issues related to hiring, retention, and dismissal; evaluation models for professional and classified staff; and effective professional development models to support lifelong learning and reflective practice.","EDADM 541",3,55
2938,"EDADM 558","Diverse Learning Needs","Learner needs will be examined from major psycho/social perspectives with stress upon developmental phases of normal growth along with common problems encountered in schools. Issues of racism, gender bias, and socio-economic problems that influence learner responsiveness to school curricula and administrative regulations, routines, and legal requirements.","EDADM 541",3,55
2939,"EDADM 559","Curriculum Leadership","Generic administrative approaches to the design and delivery of elementary and secondary school curricula including the study of the organizations for learning; cognition and learning theories; validation; concepts of balance; school goals, student assessments and reporting of progress, alignment, and professional development; development of curriculum guides; mapping; employing national standards and benchmarks.","EDADM 541",3,55
2940,"EDADM 575","Education Law and Ethics","Examination of constitutional, statutory, and judicial provisions as a basis for the legal operation of educational institutions. Rights and ethical responsibilities of school leaders are examined in relation to their roles and responsibilities with boards, other school personnel, and students.","EDADM 541",3,55
2941,"EDADM 590","Special Topics",,"9 credits in education",1-4,55
2942,"EDADM 591","Supervised Field Experience","Supervised on-the-job field experience in special areas.","EDADM 541 and admission to program and instructor's approval",1-6,55
2943,"EDADM 591A","Supervised Field Experience: Elementary Principal","Supervised on-the-job field experience in special areas.","EDADM 541 and admission to program and instructor's approval",1-6,55
2944,"EDADM 591B","Supervised Field Experience: Secondary Principal","Supervised on-the-job field experience in special areas.","EDADM 541 and admission to program and instructor's approval",1-6,55
2945,"EDADM 593",Workshops,,"9 credits in education",1-4,55
2946,"EDADM 599","Creative Component Development",,"9 credits in educational administration",1-3,55
2947,"EDADM 615",Seminar,"In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2948,"EDADM 615A","Seminar: Client Focus","In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2949,"EDADM 615B","Seminar: Research","In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2950,"EDADM 615C","Seminar: Quality Improvement","In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2951,"EDADM 615D","Seminar: Special Services","In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2952,"EDADM 615E","Seminar: Assessment","In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2953,"EDADM 615F","Seminar: Leadership","In-depth study of administrative topics of contemporary interest and importance.",,1-3,55
2954,"EDADM 620","Program Induction Leadership Seminar","Assessment of candidate skill areas, including communication, leadership, technology, and team facilitation for the development of an individualized learning plan for the program.  Orientation to program expectations and leadership challenges in the context of schooling for a global society.","EDADM 541",3,55
2955,"EDADM 621","Aligning the System for Student Achievement","Alignment of system goals and leadership theory with student achievement, governance, systems thinking, and communication and collaboration with various publics.","EDADM 541",5,55
2956,"EDADM 622","Maximizing Human and Financial Resources for Student Achievement","Allocation of system resources to enhance student achievement; human resource development and negotiations; and coaching and evaluating the administrative team.","EDADM 541",3,55
2957,"EDADM 623","Mid-Program Leadership Seminar","Mid-program assessment of candidate progress and exploration of leadership strategies for working with diverse populations.","EDADM 541",1,55
2958,"EDADM 624","School Finance","General issues of school finance and managing school financial affairs.  Role of the federal, state and local governments in educational finance, tax issues, and structures; bonding; budget procedures; and non-public school finance issues.  Includes attendance at selected sessions of the Iowa School Business Management Academy in May and two additional class sessions.","EDADM 541",2,55
2959,"EDADM 631","Achieving Results Through Accountability Strategies","Accountability strategies for applying leadership theory to student achievement, governance, systems thinking, change agentry, and communication and collaboration with various publics.","EDADM 541",5,55
2960,"EDADM 632","Using System Assets to Create a Culture of Learning","Leadership strategies to promote a culture of high student achievement; effective human capital management, including recruitment and induction of new personnel; and effective communication with parents and other patrons.","EDADM 541",3,55
2961,"EDADM 633","Career Induction Leadership Seminar","Development of entry plan for creating a culture of collaboration; professional growth plan for first year in new position; and authentic performance assessment of values and beliefs platform.","EDADM 541",1,55
2962,"EDADM 634","School Business Management and Accountability","Management of school operations; accountability and ethical business practices; risk management; school plant operations, food service and student transportation.  Includes attendance at selected sessions of the Iowa School Business Management Academy in May and two additional class days.","EDADM 541",2,55
2963,"EDADM 651","Ethics, Spirituality, and Social Justice in Administrative Practice","Exploration of ethical models and practice of educational administrators. Participants develop personal and professional codes of ethics: define concepts of care, spirituality, democracy, equity, diversity, and social justice; and explain how those concepts relate to students' academic and social success. Case studies offer opportunities to consider moral and legal consequences of decision-making. Participants develop their own vision of leadership.",,3,55
2964,"EDADM 690","Advanced Special Topics",,"9 credits in educational administration",1-3,55
2965,"EDADM 691","Clinical Dilemmas of Practice","Supervised on-the-job field leadership experience in clinical dilemmas of practice.   Offered on a satisfactory-fail basis only.","EDADM 541, admission to program, and instructor's approval",1-3,55
2966,"EDADM 699","Dissertation Research",,"9 credits in education",arr,55
2967,"EL PS 591","Social Justice Field Experience","Supervised field experience in equity and social justice inside/outside higher education.","EL PS 620",1-3,56
2968,"EL PS 615","Thematic Seminars",,"Admission to educational leadership doctoral program",1,56
2969,"EL PS 615A","Thematic Seminars: Communication and Team Building",,"Admission to educational leadership doctoral program",1,56
2970,"EL PS 615B","Thematic Seminars: Governance, Politics and Policies",,"Admission to educational leadership doctoral program",1,56
2971,"EL PS 615C","Thematic Seminars: Law, Equity, Equality",,"Admission to educational leadership doctoral program",1,56
2972,"EL PS 615D","Thematic Seminars: Ethics, Justice, and Caring",,"Admission to educational leadership doctoral program",1,56
2973,"EL PS 615E","Thematic Seminars: Problem Solving and Planning",,"Admission to educational leadership doctoral program",1,56
2974,"EL PS 615F","Thematic Seminars: Critical and Creative Thinking",,"Admission to educational leadership doctoral program",1,56
2975,"EL PS 616","Capstone Experience","This experience is designed to explore a topic addressed in one of the thematic seminars. The product of the capstone experience is a written paper of sufficient quality to be submitted to a scholarly journal for review.","4 credits of EL PS 615",3,56
2976,"EL PS 620","Education for Social Justice","Introduction to social justice theory, research, and practice from a variety of theoretical perspectives in the context of higher education and broader society.",,3,56
2977,"EL PS 621","Pedagogies of Dissent","Critical examination of the philosophical foundations of education that seek to challenge the status quo and advance radical educational change.  Exploration of macro-level (and some micro-level) issues relevant to educational change, in relation to how they inform practices of dissent and every day social relations.","EL PS 620",3,56
2978,"EL PS 622","Decolonizing Praxis","Critically probes the philosophical and historical foundations of anti/post-colonial theory.  Examination of policy, social, theoretical and educational issues from an anti/post-colonial perspective.","EL PS 620",3,56
2979,"EL PS 624","Critical Race Theory in Education","Exploration of the central tenets of critical race theory.  Examination of policy, social and educational issues from a critical race perspective.",,3,56
2980,"EL PS 625","Gender and Sexuality in Education","Exploration of gender and sexuality in education.",,3,56
2981,"EL PS 626","Social Justice and Social Change in Education","An examination of how changes in the interest of social justice have occurred historically in education.  Exploration of social movements and theories of social change.","EL PS 621",3,56
2982,"E E 166","Professional Programs Orientation","(1-0) Overview of the nature and scope of electrical engineering and computer engineering professions. Overview of portfolios. Departmental rules, advising center operations, degree requirements, program of study planning, career options, and student organizations.",,R,57
2983,"E E 185","Introduction to Electrical Engineering and Problem-Solving I","Project based examples from electrical engineering. Systematic thinking process for engineering problem solving. Group problem solving. Mathematical, conceptual and computer based projects. Solving engineering problems and presenting solutions through technical reports and oral presentations. Solutions of engineering problems using computation tools and basic programming.","MATH 143 or satisfactory scores on mathematics placement examinations; credit or enrollment in MATH 165",3,57
2984,"E E 186","Introduction to Electrical Engineering and Problem Solving II","Project based and hands on continuation of 185. Group skills needed to work effectively in teams. Individual interactive skills for small and large groups. Learning to use tools and methods for solving electrical engineering problems.","E E 185",1,57
2985,"E E 188","Bio-Electrical Engineering Fundamentals Laboratory","Fundamental laboratory based course in bio-electrical engineering with an emphasis on acquiring and analyzing biomedical signals to obtain relevant information.  Topics covered include an overview of basic medical terminology and anatomy, labs illustrating data acquisition from different body systems, and an introduction to statistical significance and its relationship to biological variability.","E E 185 or equivalent",2,57
2986,"E E 201","Electric Circuits","Emphasis on mathematical tools. Circuit elements (resistors, inductors, capacitors) and analysis methods including power and energy relationships. Network theorems. DC, sinusoidal steady-state, and transient analysis. AC power. Frequency response. Two port models. Diodes, PSPICE. Laboratory   instrumentation and experimentation.   Credit for only E E 201 or 442 may be used towards graduation.","Credit or enrollment in MATH 267 and PHYS 222",4,57
2987,"E E 224","Signals and Systems I","Mathematical preliminaries. Introduction to signals and systems. Signal manipulations. System properties. LTI systems, impulse response and convolution. Fourier Series representation and properties. Continuous and discrete-time Fourier Transforms and properties. Sampling and reconstruction. Modulation and demodulation. Applications and demonstrations using Matlab.","E E 201, MATH 267, PHYS 222",4,57
2988,"E E 230","Electronic Circuits and Systems","Frequency domain characterization of electronic circuits and systems, transfer functions, sinusoidal steady state response. Time domain models of linear and nonlinear electronic circuits, linearization, small signal analysis. Stability and feedback circuits. Operational amplifiers, device models, linear and nonlinear applications, transfer function realizations. A/D and D/A converters, sources of distortions, converter linearity and spectral characterization, applications. Design and laboratory instrumentation and measurements.","E E 201, MATH 267, PHYS 222",4,57
2989,"E E 261","Transfer Orientation","Introduction to the College of Engineering and the engineering profession specifically for transfer students. Information concerning university and college policies, procedures, and resources.   Offered on a satisfactory-fail basis only.",,R,57
2990,"E E 285","Problem Solving Methods and Tools for Electrical Engineering","Integration  of field-specific computational tools for practically solving electrical engineering problems.  Methods for systematically reducing problems into sequential steps compatible with  computer based tools.  Structuring computer programs for efficiency and maintainability.  Integration of multi-platform operating systems and multi-vendor tools for solving engineering problems.  Hands-on laboratory experiences using Matlab, C, and other computational tools.",,4,57
2991,"E E 294","Program Discovery","The roles of professionals in computer and electrical engineering.  Relationship of coursework to industry and academic careers.  Issues relevant to today's world.   Offered on a satisfactory-fail basis only.","CPR E 166 or E E 166",R,57
2992,"E E 298","Cooperative Education","First professional work period in the cooperative education program. Students must register for this course before commencing work.","Permission of department and Engineering Career Services",R,57
2993,"E E 303","Energy Systems and Power Electronics","Structure of competitive electric energy systems.  System operation and economic optimization. Mutual inductance, transformers. Synchronous generators. Balanced three-phase circuit analysis and power calculations. Network calculations and associated numerical algorithms. Two-port circuits. Voltage regulation. Resonance and power factor correction. DC and induction motors. Power electronic circuit applications to power supplies and motor drives.","MATH 267, PHYS 222; credit or enrollment in E E 224 and E E 230",3,57
2994,"E E 311","Electromagnetic Fields and Waves","Fundamentals and applications of electric and magnetic fields and materials. Electrostatics and magentostatics, potentials, capacitance and inductance, energy, force, torque. Uniform plane electromagnetic waves, Poynting vector. Transmission lines: transient and sinusoidal steady-state conditions, reflection coefficient.","E E 201, MATH 265, PHYS 222, credit or enrollment in MATH 267",4,57
2995,"E E 314","Electromagnetics for non Electrical Engineers","Conceptual study of electomagnetism and its application in engineering and related fields. EM fundamentals, EM spectrum, radiation, radiating systems, wireless, modern concepts of physics, quantum computing, transmission lines, high speed effects, waveguides, GPS and other related phenomena will be discussed and explained with the application in mind.","PHYS 222, PHYS 112, or equivalent",3,57
2996,"E E 321","Communication Systems I","Frequency domain analysis, spectral filtering, bandwidth. Linear modulation systems. Angle modulation systems. Phase locked loop, super-heterodyne receiver. Sampling and pulse code modulation. Digital data transmission, line coding, pulse shaping, multiplexing.","E E 224",3,57
2997,"E E 322","Probabilistic Methods for Electrical Engineers","Introduction to probability with applications to electrical engineering. Sets and events, probability space, conditional probability, total probability and Bayes' rule. Discrete and continuous random variables, cumulative distribution function, probability mass and density functions, expectation, moments, moment generating functions, multiple random variables, functions of random variables. Elements of statistics, hypothesis testing, confidence intervals, least squares. Introduction to random processes.","E E 224",3,57
2998,"E E 324","Signals and Systems II","Laplace and z-Transforms, properties and inverses.  Applications to LTI systems and analog/digital filters.  Feedback systems and stability. State-space representation and analysis.","E E 224",4,57
2999,"E E 330","Integrated Electronics","Semiconductor technology for integrated circuits. Modeling of integrated devices including diodes, BJTs, and MOSFETs. Physical layout. Circuit simulation. Digital building blocks and digital circuit synthesis. Analysis and design of analog building blocks. Laboratory exercises and design projects   with CAD tools and standard cells.","E E 201, credit or enrollment in E E 230, CPR E 281",4,57
3000,"E E 332","Semiconductor Materials and Devices","Introduction to semiconductor material and device physics. Quantum mechanics and band theory of semiconductors. Charge carrier distributions, generation/recombination, transport properties. Physical and electrical properties and fabrication of semiconductor devices such as MOSFETs, bipolar transistors, laser diodes and LED's.","PHYS 222; MAT E majors: MAT E 317; CPR E and E E majors: E E 230",3,57
3001,"E E 336","Biomedical Instrumentation","Principles and practices of biomedical instrumentation. Topics include: the physics and measurement of biopotentials including electrocardiography (EKG), electromyohgraphy (EMG) and electro-occulography (EOG), mechanical and chemical sensors, amplifiers and filters, recording and processing biological signals from nerve cells, muscles and human body, electrode polarization, surface electrodes, power line interference, heart sound sensors, respiratory gas concentration, blood-gas sensors, noninvasive blood-gas sensors.","E E 188, E E 224, E E 230",3,57
3002,"E E 351","Analysis of Energy Systems","Energy-scientific, engineering and economic foundations. Energy utilization-global and national. Sectoral analysis of energy consumption. Relationship of energy consumption and production to economic growth and environment. Technology for energy production. Economic evaluation of energy utilization and production. Scientific basis for global warming. Environmental impact of energy production and utilization. Renewable energy.","PHYS 222",3,57
3003,"E E 388","Sustainable Engineering and International Development","Multi-disciplinary approach to sustainable engineering and international development, sustainable development, appropriate design and engineering, feasibility analysis, international aid, business development, philosophy and politics of technology, and ethics in engineering. Engineering-based projects from problem formulation through implementation. Interactions with partner community organizations or international partners such as nongovernment organizations (NGOs). Course readings, final project/design report.","Junior classification in engineering",3,57
3004,"E E 391","Open Laboratory and Design Studio","Studio-based activity (guided problem-based learning and design) focusing on elements of design, measurement, data capture, and data interpretation. Team building, engineering professionalism, engineering process of review and critique, and presentation. Open design activities that may include working with other studios.","E E 224",2,57
3005,"E E 394","Program Exploration","Exploration of academic and career fields for electrical and computer engineers.  Examination of professionalism in the context of engineering and technology with competencies based skills.  Introduction to professional portfolio development and construction.   Offered on a satisfactory-fail basis only.","CPR E 294 or E E 294",R,57
3006,"E E 396","Summer Internship","Summer professional work period. Students must register for this course before commencing work.","Permission of department and Engineering Career Services",R,57
3007,"E E 397","Engineering Internship","One semester maximum per academic year professional work period. Students must register for this course before commencing work.","Permission of department and Engineering Career Services",R,57
3008,"E E 398","Cooperative Education","Second professional work period in the cooperative education program. Students must register for this course before commencing work.","E E 298, permission of department and Engineering Career Services",R,57
3009,"E E 414","Microwave Engineering","Principles, analyses, and instrumentation used in the microwave portion of the electromagnetic spectrum. Wave theory in relation to circuit parameters. S parameters, couplers, discontinuities, and microwave device equivalent circuits. RF amplifier design, microwave sources, optimum noise figure and maximum power designs. Microwave filters and oscillators.","E E 230, E E 311",4,57
3010,"E E 417","Electromagnetic Radiation, Antennas, and Propagation","Fundamental antenna concepts. Radiation from wire-and aperture-type sources. Radio transmission formulas. Wave and antenna polarization. Antenna arrays. Modern antenna topics. Practical antenna design. Antenna noise. Radiowave propagation in the presence of the earth and its atmosphere. Antenna measurements and computer aided analysis.","E E 311",4,57
3011,"E E 418","High Speed System Engineering Measurement and Testing","Measurement of high speed systems and mixed signal systems.  Measurement accuracy and error.  Network analysis and spectrum analysis used in high speed measurement and testing.  Test specification process and parametric measurement.  Sampling and digital signal processing concepts.  Design for testability.  Testing equipment. Applications.","E E 230 and E E 311",4,57
3012,"E E 422","Communication Systems II","Introduction to probability and random processes; Performance of analog systems with noise; Performance of digital communication with noise; optimum receivers, transmission impairments, and error rates; Introduction to information theory and coding: source coding, channel coding, channel capacity.","E E 321 and enrollment in E E 423",3,57
3013,"E E 423","Communication Systems Laboratory","Construction and evaluation of modulators, demodulators and other components for analog and digital communications. Design, simulate,and evaluate wireless communication systems and their key components. Noise measurement.","E E 321, enrollment in E E 422",1,57
3014,"E E 424","Introduction to Digital Signal Processing","Sampling and reconstruction. Concepts and mathematical tools in discrete-time signal processing with examples from digital signal processing and communications.  Discrete-time correlation and matched-filter receivers.  Discrete Fourier transform (DFT).  Fast Fourier algorithms. Z transforms.  Design of finite impulse response (FIR) and infinite impulse response (IIR) filters.  Realizations of discrete-time systems and quantization effects.  Multi-rate signal processing.  Laboratory experiments illustrating DSP implementations and applications.","E E 224",4,57
