"HIST 356","Sophomore classification"
"HIST 360","Sophomore classification"
"HIST 361","Sophomore classification"
"HIST 365","Sophomore classification"
"HIST 366","Sophomore classification"
"HIST 367","Sophomore classification"
"HIST 370","Sophomore classification"
"HIST 374","Any one course in Cl St, W S, Latin, or Greek"
"HIST 380","Sophomore classification"
"HIST 383","Sophomore classification"
"HIST 384","Enrollment limited to students participating in CL ST 385/HIST 385. Instructor permission required."
"HIST 385","CL ST 384/HIST 384 and instructor’s permission."
"HIST 386","Sophomore classification"
"HIST 389","Sophomore classification"
"HIST 390","Sophomore classification"
"HIST 391","Sophomore classification"
"HIST 396","Sophomore classification or permission of instructor"
"HIST 396A","Sophomore classification or permission of instructor"
"HIST 396B","Sophomore classification or permission of instructor"
"HIST 396C","Sophomore classification or permission of instructor"
"HIST 402","Sophomore classification"
"HIST 403","Sophomore classification"
"HIST 405","Sophomore classification"
"HIST 406","Sophomore classification"
"HIST 407","Sophomore classification."
"HIST 408","Sophomore classification"
"HIST 414","Sophomore classification"
"HIST 419","Sophomore classification"
"HIST 420","Sophomore classification"
"HIST 421","Sophomore classification"
"HIST 422","Sophomore classification"
"HIST 424","Sophomore classification."
"HIST 427","Sophomore classification"
"HIST 428","Sophomore classification"
"HIST 429","Sophomore classification"
"HIST 431","Sophomore classification"
"HIST 441","Sophomore classification."
"HIST 442","Sophomore classification."
"HIST 450","Sophomore classification"
"HIST 451","Sophomore classification"
"HIST 453","Sophomore classification."
"HIST 456","Sophomore classification"
"HIST 460","Sophomore Classification"
"HIST 461","Sophomore classification"
"HIST 465","Sophomore classification"
"HIST 468","Sophomore classification"
"HIST 472","Sophomore classification"
"HIST 473","Sophomore classification"
"HIST 474","Sophomore classification"
"HIST 479","Sophomore classification"
"HIST 480","Permission of area coordinator required prior to enrollment"
"HIST 480A","Admission to Teacher Education"
"HIST 482","Sophomore classification"
"HIST 488","Sophomore classification"
"HIST 490","9 credits in history; permission of department chair"
"HIST 495","Senior history majors with at least 12 credits of 300+ level history courses"
"HIST 496","Sophomore classification or permission of instructor."
"HIST 496A","Sophomore classification or permission of instructor."
"HIST 496B","Sophomore classification or permission of instructor."
"HIST 496C","Sophomore classification or permission of instructor."
"HIST 498","Concurrent enrollment in HIST 480A; Admission to teacher education and 30 credits in subject-matter field"
"HIST 510","Permission of instructor"
"HIST 511","Permission of instructor"
"HIST 511A","Permission of instructor"
"HIST 511B","Permission of instructor"
"HIST 511C","Permission of instructor"
"HIST 511D","Permission of instructor"
"HIST 511E","Permission of instructor"
"HIST 511F","Permission of instructor"
"HIST 512","Permission of instructor"
"HIST 512A","Permission of instructor"
"HIST 512B","Permission of instructor"
"HIST 512C","Permission of instructor"
"HIST 513","Permission of instructor"
"HIST 530","HIST 422"
"HIST 550","Permission of instructor"
"HIST 550B","Permission of instructor"
"HIST 552","Permission of instructor"
"HIST 552A","Permission of instructor"
"HIST 552B","Permission of instructor"
"HIST 552C","Permission of instructor"
"HIST 552D","Permission of instructor"
"HIST 575","Permission of instructor"
"HIST 583",""
"HIST 583A","Permission of instructor."
"HIST 583B","Permission of instructor."
"HIST 583C","Permission of instructor."
"HIST 586","Permission of instructor"
"HIST 590","Permission of instructor"
"HIST 593","Permission of instructor"
"HIST 593A","Permission of instructor"
"HIST 593B","Permission of instructor"
"HIST 593C","Permission of instructor"
"HIST 593D","Permission of instructor"
"HIST 593F","Permission of instructor"
"HIST 594","Permission of instructor"
"HIST 594A","Permission of instructor"
"HIST 594B","Permission of instructor"
"HIST 594C","Permission of instructor"
"HIST 610","Permission of instructor"
"HIST 699",""
"HON 121","Membership in the First-Year Honors Program"
"HON 290","Membership in and permission of the University Honors Program"
"HON 290H","Membership in and permission of the University Honors Program"
"HON 290U","Membership in and permission of the University Honors Program"
"HON 302","Selection as a leader of a First-Year Honors Seminar"
"HON 321","Membership in the University Honors Program"
"HON 322","Membership in the University Honors Program"
"HON 323","Membership in the University Honors Program"
"HON 324","Membership in the University Honors Program"
"HON 490","Membership in and permission of the University Honors Program"
"HORT 110",""
"HORT 112",""
"HORT 114","HORT 112 or NREM 112"
"HORT 121",""
"HORT 122",""
"HORT 131",""
"HORT 193",""
"HORT 193A",""
"HORT 193B",""
"HORT 193C",""
"HORT 193D",""
"HORT 193E",""
"HORT 193F",""
"HORT 193G",""
"HORT 221","BIOL 211 or concurrent enrollment"
"HORT 225",""
"HORT 240",""
"HORT 276","High school biology and chemistry."
"HORT 281",""
"HORT 282",""
"HORT 283",""
"HORT 321","HORT 221 or BIOL 211"
"HORT 322","HORT 221 or BIOL 211"
"HORT 330","HORT 221 or by permission of instructor"
"HORT 331","HORT 221 or AGRON 114 or 3 credits in biological sciences"
"HORT 332","HORT 221"
"HORT 338","AGRON 114 or HORT 221, BIOL 211"
"HORT 341","HORT 240 or L A 221 or  L A 222"
"HORT 342","HORT 240 or L A 221 or L A 222"
"HORT 351","HORT 221 or AGRON 114 or BIOL 211"
"HORT 351L","Credit or enrollment in HORT 351"
"HORT 354","AGRON 154 and BIOL 101 or BIOL 211"
"HORT 354L","Agron or Hort major with credit or enrollment in AGRON 354"
"HORT 376","HORT 221 or AGRON 114"
"HORT 380","HORT 240"
"HORT 381","HORT 240, HORT 281, HORT 330, concurrent enrollment in HORT 380"
"HORT 391","HORT 221 or permission of instructor"
"HORT 398","Permission of department resource and career center coordinator"
"HORT 421","GEN 320 or BIOL 313"
"HORT 424",""
"HORT 434","HORT 332"
"HORT 435","HORT 330 and HORT 332"
"HORT 442","HORT 221"
"HORT 444",""
"HORT 445","HORT 221 and junior or senior classification"
"HORT 451","HORT 351"
"HORT 452","HORT 351"
"HORT 453","HORT 351"
"HORT 454",""
"HORT 461","HORT 221"
"HORT 465","Junior or senior classification."
"HORT 465A","Junior or senior classification."
"HORT 465B","Junior or senior classification."
"HORT 465C","Junior or senior classification."
"HORT 471","HORT 221"
"HORT 471L","Junior or Senior status and concurrent enrollment in HORT 471 is required."
"HORT 475","Junior or senior classification, 3 credits in biology"
"HORT 481","HORT 240 and HORT 330 and HORT 380 and HORT 381"
"HORT 484","9 cr. in biological or physical sciences"
"HORT 490","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490A","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490B","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490C","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490D","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490E","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490F","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490G","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490H","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490I","Junior or Senior classification in horticulture or permission of instructor"
"HORT 490J","Junior or Senior classification in horticulture or permission of instructor"
"HORT 491","AGRON 338, advanced approval and participation of employer and instructor"
"HORT 493",""
"HORT 494","Permission of instructor"
"HORT 494A","Permission of instructor"
"HORT 494B","Permission of instructor"
"HORT 495","Permission of instructor"
"HORT 496","Permission of instructor"
"HORT 506",""
"HORT 511","PL P 408 or PL P 416 or ENT 370 or ENT 376 or HORT 221"
"HORT 524",""
"HORT 530",""
"HORT 542",""
"HORT 542A",""
"HORT 542B","Graduate classification"
"HORT 542C",""
"HORT 542D",""
"HORT 542E",""
"HORT 542F",""
"HORT 542G",""
"HORT 543","Admission to the Graduate Seed Technology and Business Program or approval of the instructor"
"HORT 546","SUSAG 509"
"HORT 551","Junior or senior or graduate classification or permission of instructor"
"HORT 552","HORT 351"
"HORT 584","9 cr. in biological or physical sciences"
"HORT 590","a major or minor in horticulture"
"HORT 593",""
"HORT 593A",""
"HORT 593B",""
"HORT 593C",""
"HORT 593D",""
"HORT 593E",""
"HORT 593F",""
"HORT 593G",""
"HORT 599",""
"HORT 610",""
"HORT 690",""
"HORT 696",""
"HORT 698","Graduate student classification"
"HORT 699",""
"HORT 699A",""
"HORT 699B",""
"HORT 699C",""
"HORT 699D",""
"HORT 699E",""
"HORT 699F",""
"HORT 699G",""
"HORT 699I",""
"HSP M 101",""
"HSP M 189",""
"HSP M 230",""
"HSP M 233",""
"HSP M 260",""
"HSP M 289","HSP M 101"
"HSP M 315","HSP M 101"
"HSP M 320","HSP M 101 or permission of instructor"
"HSP M 333","Credit or enrollment in HSP M 380, HSP M 380L; 3 credits MATH"
"HSP M 352","Credit or enrollment in HSP M 101, AESHM 287"
"HSP M 380","HSP M 233 or 2 cr MICRO; FS HN 111 or FS HN 214; FS HN 115 or 215; at least junior classification; enrollment in HSP M 380L"
"HSP M 380L","HSP M 233 or 2 cr MICRO; FS HN 111 or FS HN 214; FS HN 115 or FS HN 215; at least junior classification; enrollment in HSP M 380"
"HSP M 383","Must be at least 21 years old"
"HSP M 383L","HSP M 383 or concurrent enrollment.  Must be at least 21 years old"
"HSP M 391","Credit or enrollment in HSP M 380, HSP M 380L"
"HSP M 392","HSP M 391"
"HSP M 433","HSP M 333; ACCT 284; ECON 101; credit or enrollment in STAT 101"
"HSP M 437","HSP M 352"
"HSP M 439","AESHM 438"
"HSP M 452","HSP M 352; credit or enrollment in HSP M 333"
"HSP M 455","AESHM 340; credit or enrollment in HSP M 433 and AESHM 438"
"HSP M 487","HSP M 380, HSP M 380L"
"HSP M 489","Credit or enrollment in FS HN 101 or FS HN 272 or HSP M 233; FS HN 419 or FS HN 420; FS HN 403"
"HSP M 490","Sections B-E:  Program approval; Section H:  Full membership in Honors Program"
"HSP M 490B","Sections B-E: Program approval"
"HSP M 490D","Sections B-E: Program approval; Section H: Full membership in Honors Program"
"HSP M 490E","Sections B-E: Program approval; Section H: Full membership in Honors Program"
"HSP M 490H","Sections B-E: Program approval; Section H: Full membership in Honors Program"
"HSP M 505",""
"HSP M 506",""
"HSP M 533","HSP M 433"
"HSP M 538","AESHM 438"
"HSP M 540","AESHM 340"
"HSP M 555","Courses in MKT, FIN, MGMT, and HSP M.  Permission of instructor"
"HSP M 587","HSP M 380, HSP M 380L"
"HSP M 590","9 credits in HRI at 400 level or above; application process"
"HSP M 590B","9 credits in HSP M at 400 level or above; application process."
"HSP M 590C","9 credits in HSP M at 400 level or above; application process"
"HSP M 590D","9 credits in HSP M at 400 level or above; application process."
"HSP M 590E","9 credits in HSP M at 400 level or above; application process."
"HSP M 590F","9 credits in HSP M at 400 level or above; application process."
"HSP M 599",""
"HSP M 604","Enrollment in PhD program"
"HSP M 608","Permission of instructor; enrollment in PhD program"
"HSP M 633","HSP M 433; Enrollment in PhD program"
"HSP M 638","HSP M 538; Enrollment in PhD program"
"HSP M 640","HSP M 540; STAT 401.  Enrollment in PhD program"
"HSP M 652","Enrollment in PhD program"
"HSP M 680","Enrollment in PhD program"
"HSP M 690","Enrollment in PhD program, application process"
"HSP M 690B","Enrollment in PhD program, application process"
"HSP M 690C","Enrollment in PhD program, application process"
"HSP M 690D","Enrollment in PhD program, application process"
"HSP M 690E","Enrollment in PhD program, application process"
"HSP M 690F","Enrollment in PhD program, application process"
"HSP M 699","Enrollment in PhD program"
"HCI 504","C I 501"
"HCI 515","STAT 330 or equivalent, recommended ENGL 219 or LING 219, or ENGL 511 or LING 511"
"HCI 520","ENGL 510 or LING 510, and ENGL 511 or LING 511"
"HCI 521","Graduate classification or instructor approval"
"HCI 522","PSYCH 521 and STAT 101 or equivalent"
"HCI 525","M E 160, MATH 265"
"HCI 558","Graduate-student standing in the mathematical or natural sciences or engineering; basic programming knowledge"
"HCI 570",""
"HCI 571","M E 557/CPR E 557/COM S 557, or equivalent computer graphics experience"
"HCI 572","Permission from instructor."
"HCI 574",""
"HCI 575","Graduate standing or permission of instructor"
"HCI 580","Senior or Graduate status."
"HCI 585","knowledge of C/C++ programming language."
"HCI 589","Graduate classification or permission of instructor."
"HCI 590",""
"HCI 591",""
"HCI 592",""
"HCI 594","Graduate classification."
"HCI 595",""
"HCI 596","HCI 521"
"HCI 597",""
"HCI 598","21 credits in human computer interaction or permission of the instructor"
"HCI 599",""
"HCI 603","C I 503"
"HCI 655","Graduate classification"
"HCI 681","I E 572 or I E 577 or PSYCH 516 or HCI/PSYCH 521 or equivalent"
"HCI 697","Permission of Director of Graduate Education, graduate classification"
"HCI 699",""
"HD FS 102",""
"HD FS 103",""
"HD FS 105",""
"HD FS 110","Membership in HD FS Learning Community"
"HD FS 111",""
"HD FS 183",""
"HD FS 208","classification as ECE major"
"HD FS 218","Credit or concurrent enrollment in HD FS 102. For child, adult and family services majors."
"HD FS 223",""
"HD FS 224","HD FS 102 and HD FS 103"
"HD FS 226","HD FS 102 or PSYCH 230"
"HD FS 227","HD FS 102 or PSYCH 230"
"HD FS 234","HD FS 102"
"HD FS 239",""
"HD FS 240",""
"HD FS 249",""
"HD FS 270","HD FS 102 or PSYCH 230"
"HD FS 276",""
"HD FS 283",""
"HD FS 317","Permission of instructor."
"HD FS 317B","9 credits in HD FS."
"HD FS 317H","9 credits in HD FS"
"HD FS 340","HD FS 103; HD FS 224; admission to teacher education program"
"HD FS 341","6 credits in social sciences"
"HD FS 342","HD FS 103; HD FS 224"
"HD FS 343","HD FS 103; HD FS 224; HD FS 240; admission to teacher education program"
"HD FS 344","HD FS 103; HD FS 224"
"HD FS 345","Credit or concurrent enrollment in HD FS 340 or HD FS 343; SP ED 250"
"HD FS 360","6 credits in social sciences"
"HD FS 367","HD FS 102 or PSYCH 230"
"HD FS 369","HD FS 102 or PSYCH 230; 9 hours in HD FS; junior or senior status."
"HD FS 373","HD FS 102"
"HD FS 377","HD FS 102"
"HD FS 378","3 credits in Principles of Economics and 3 credits in Human Development and Family Studies"
"HD FS 383","HD FS 283"
"HD FS 395","HD FS 369 or equivalent"
"HD FS 416","8 credits in human development and family studies"
"HD FS 417","Reservation required"
"HD FS 417C","GPA 2.5, full admission to teacher education program, HD FS 455; HD FS 456."
"HD FS 418",""
"HD FS 418A","Taken concurrently with HD FS 417"
"HD FS 418B","Junior classification"
"HD FS 449","HD FS 369"
"HD FS 455","HD FS 343, HD FS 345, SP ED 355 and SP ED 455"
"HD FS 456","HD FS 340 or HD FS 344; or permission of instructor"
"HD FS 463","HD FS 360 or 3 credits in housing, architecture, interior design, rehabilitation, psychology, or human development and family studies or permission of instructor"
"HD FS 479","HD FS 102 or equivalent; HD FS 369 or equivalent; 9 hours in social sciences; junior or senior status"
"HD FS 482","HD FS 283"
"HD FS 484","HD FS 283"
"HD FS 485","HD FS 283, HD FS 378, HD FS 383, HD FS 484, HD FS 488, ACCT 485, FIN 361"
"HD FS 486","Junior classification; 6 credits in HD FS at 300 level and above"
"HD FS 489","Graduate classification"
"HD FS 489L","Instructor permission"
"HD FS 490","6 credits in human development and family studies"
"HD FS 490H","6 credits in human development and family studies"
"HD FS 491","HD FS 418B; permission of instructor; senior classification; minimum 2.0 GPA; reservation required one semester before placement"
"HD FS 493","Senior classification"
"HD FS 499","Consult department office for procedures."
"HD FS 501","Admission to HD FS Graduate program"
"HD FS 503","Permission of instructor"
"HD FS 504","9 credits of social sciences or permission of instructor"
"HD FS 505","HD FS 503 or permission of instructor"
"HD FS 510","9 credits of social sciences or permission of instructor"
"HD FS 511","9 credits in social sciences or permission of instructor"
"HD FS 530",""
"HD FS 534",""
"HD FS 538","9 credits in human development and family studies or psychology or permission of instructor"
"HD FS 541",""
"HD FS 545",""
"HD FS 555","9 credits in social sciences or permission of instructor"
"HD FS 563","HD FS 360 or 3 credits in housing, architecture, interior design, rehabilitation, psychology, or human development and family studies or permission of instructor"
"HD FS 566","9 credits in social sciences or permission of instructor"
"HD FS 567","9 credits in social sciences or permission of instructor"
"HD FS 568","HD FS 510 or permission of instructor"
"HD FS 575","6 credits in social sciences or permission of instructor"
"HD FS 577","9 credits in social sciences or permission of instructor"
"HD FS 579","9 credits in social sciences or permission of instructor"
"HD FS 581","Permission by application"
"HD FS 581A","Permission by application"
"HD FS 581B","Permission by application"
"HD FS 581C","Permission by application"
"HD FS 583","HD FS 483"
"HD FS 584",""
"HD FS 585","6 credits in graduate level social sciences or permission of instructor"
"HD FS 588","6 credits in sociology or economics"
"HD FS 589","Graduate classification"
"HD FS 589L","Instructor permission"
"HD FS 590","Permission of instructor"
"HD FS 590I","Permission of instructor"
"HD FS 591","10 graduate credits"
"HD FS 591I","10 graduate credits"
"HD FS 593","Senior classification"
"HD FS 594",""
"HD FS 599","9 graduate credits in HD FS"
"HD FS 603","HD FS 503, HD FS 505; STAT 402 or STAT 404 or permission of instructor"
"HD FS 604","HD FS 504 or permission of instructor"
"HD FS 605","HD FS 503 and HD FS 505 or STAT 404 or permission of instructor"
"HD FS 606","HD FS 603 or STAT 404 or permission of instructor"
"HD FS 607","HD FS 503, HD FS 504,HD FS 505, or permission of instructor"
"HD FS 608","HD FS 503, HD FS 505, and HD FS 504 or permission of instructor"
"HD FS 616",""
"HD FS 631","HD FS 510 or permission of instructor"
"HD FS 632","HD FS 510 or permission of instructor"
"HD FS 633","HD FS 510 or permission of instructor"
"HD FS 634","HD FS 510 or permission of instructor"
"HD FS 635","HD FS 510 or permission of instructor"
"HD FS 640","HD FS 510 or permission of instructor."
"HD FS 690","Permission of instructor and enrollment in Ph.D. program"
"HD FS 690I","Permission of instructor and enrollment in Ph.D. program"
"HD FS 691","Permission of instructor"
"HD FS 691A","Permission of instructor"
"HD FS 691B","Permission of instructor"
"HD FS 691D","Permission of instructor"
"HD FS 699",""
"HD FS 699I",""
"H SCI 110",""
"H SCI 150",""
"H SCI 482","Permission of the seminar leader"
"H SCI 490",""
"H SCI 490E",""
"H SCI 582","Permission of the seminar leader"
"IMBIO 602",""
"IMBIO 604",""
"IMBIO 661","Graduate level Immunology or permission of instructor."
"IMBIO 690",""
"IMBIO 697",""
"IMBIO 699",""
"IND D 201","Admission to the industrial design program, enrollment in IND D 231."
"IND D 202","IND D 201"
"IND D 231","DSN S 102 and DSN S 131, enrollment in 201; admission to the industrial design program through department review or permission of instructor."
"IND D 232","IND D 231"
"IND D 301","IND D 202"
"IND D 302","IND D 301 or permission of instructor"
"IND D 332","IND D 231 or permission of instructor."
"IND D 334","IND D 201 and IND D 231."
"IND D 341","IND D 301"
"IND D 351","IND D 231 and enrollment in ARTID 251"
"IND D 387","30 credits earned at ISU"
"IND D 388","30 credits earned at ISU."
"IND D 397","IND D 202, 18 credits in industrial design, permission of instructor."
"IND D 401","IND D 301 or permission of instructor"
"IND D 490","Completion of industrial design studio or permission of instructor."
"IND D 490A","Completion of industrial design studio or permission of instructor."
"IND D 490B","Completion of industrial design studio or permission of instructor."
"IND D 490C","Completion of industrial design studio or permission of instructor."
"IND D 490D","Completion of industrial design studio or permission of instructor."
"IND D 495","IND D 202 and permission of instructor"
"IND D 499","IND D 495 or IND D 507 and senior standing"
"IND D 501","Admission into  the Graduate Intensive Track or graduate standing in the industrial design program."
"IND D 502","Admission into the Graduate Intensive Track or graduate standing in the industrial design program."
"IND D 503","Admission to the industrial design graduate program or completion of Graduate Intensive Track."
"IND D 504","IND D 502."
"IND D 507","Evidence of satisfactory experience in area of specialization; admitted by application and written permission of instructor only."
"IND D 511","Admission into the Graduate Intensive Track or graduate standing in the industrial design program."
"IND D 532","Admission into the Graduate Intensive Track or graduate standing in the industrial design program, or permission of instructor."
"IND D 534","Admission into the Graduate Intensive Track or graduate standing in the industrial design program."
"IND D 540","Admission into the Graduate Intensive Track or graduate standing in the industrial design program."
"IND D 541","Completion of industrial design studio or permission of instructor."
"IND D 543","Senior or Graduate standing in the industrial design program."
"IND D 551","IND D 532"
"IND D 590","Completion of industrial design studio or permission of instructor."
"IND D 592","Completion of industrial design studio or permission of instructor."
"IND D 595","Completion of industrial design studio or permission of instructor."
"IND D 597","Completion of Industrial design studio or permission of instructor."
"IND D 601","IND D 632"
"IND D 602","IND D 601"
"IND D 631","Admission into the Graduate Intensive Track, graduate standing in the industrial design program, or permission of instructor."
"IND D 632","IND D 631"
"IND D 699","IND D 632"
"I E 101",""
"I E 148","Credit or enrollment in MATH 143"
"I E 222","I E 248; credit or enrollment in I E 271."
"I E 248","MATH 166 and PHYS 221. Credit or enrollment in I E 101 and MAT E 273."
"I E 271","PHYS 221"
"I E 298","Permission of department and Engineering Career Services"
"I E 305","MATH 166"
"I E 312","Credit or enrollment in MATH 267."
"I E 341","STAT 231; credit or enrollment in I E 312"
"I E 348","I E 248 and MAT E 273, or MAT E 215"
"I E 361","STAT 231, STAT 301, STAT 326 or STAT 401"
"I E 396","Permission of department and Engineering Career Services"
"I E 397","Permission of department and Engineering Career Services"
"I E 398","I E 298, permission of department and Engineering Career Services"
"I E 403","Credit or enrollment I E 341"
"I E 413","MATH 267, STAT 231"
"I E 432","PHYS 222"
"I E 441","I E 248, I E 271, I E 361; credit or enrollment in I E 341, I E 413, and I E 448"
"I E 446","I E 348, or MAT E 216, or M E 324"
"I E 447","Students with two semesters or less before graduation"
"I E 448","I E 248, I E 305"
"I E 449","I E 248 or similar manufacturing engineering course, MATH 265."
"I E 450","Credit or enrollment in I E 305."
"I E 451","I E 450"
"I E 466","Student must be within two semesters of graduation and permission of instructor."
"I E 467","Student must be within two semesters of graduation or receive permission of instructor."
"I E 468","senior standing in College of Engineering or permission of AerE 468 instructor"
"I E 481","I E 148"
"I E 483","I E 148, I E 312, and STAT 231"
"I E 490","Senior classification, permission of instructor"
"I E 490H","Senior classification, permission of instructor"
"I E 498","I E 298, permission of department and Engineering Career Services"
"I E 501","Enrollment in M.S. or M.Eng. program in Industrial Engineering."
"I E 502","Enrollment in M.S. program in Industrial Engineering."
"I E 503","Credit or enrollment I E 341"
"I E 508","I E 312 or MATH 307"
"I E 510","I E 312"
"I E 513","STAT 231"
"I E 514","I E 312, I E 341"
"I E 519","COM S 311, STAT 401"
"I E 531","STAT 401; STAT 342 or STAT 447"
"I E 533","STAT 342 or STAT 432 or STAT 447"
"I E 534","I E 312"
"I E 537","STAT 231 or STAT 401"
"I E 541","I E 341"
"I E 543","Undergraduate engineering degree or permission of instructor."
"I E 545","I E 248 or similar manufacturing engineering course, MATH 265. Undergraduates: Permission of instructor."
"I E 546","I E 348, or MAT E 216, or M E 324"
"I E 547","Students with two semesters or less before graduation"
"I E 549","I E 248 or similar manufacturing engineering course, MATH 265."
"I E 561","I E 361"
"I E 563","STAT 231"
"I E 564","Course in probability and statistics."
"I E 565","Coursework in basic statistics"
"I E 566","I E 565"
"I E 568","senior standing in College of Engineering or permission of AerE 468 instructor"
"I E 570","Coursework in basic statistics"
"I E 571","E M 274, STAT 231"
"I E 572","I E 577 or instructor's permission"
"I E 576","I E 572 or I E 577"
"I E 577","I E 271 or graduate classification"
"I E 581","I E 148"
"I E 582","3 credits in information technology or information systems"
"I E 583","I E 148, I E 312, and STAT 231"
"I E 585","3 credits in information technology or information systems"
"I E 588","I E 148, I E 448"
"I E 590",""
"I E 601","Enrollment in Ph.D. program in Industrial Engineering."
"I E 602","Enrollment in Ph.D. program in Industrial Engineering"
"I E 613","I E 513"
"I E 631","I E 534"
"I E 632","I E 534"
"I E 633","I E 513 or STAT 447, I E 534 or equivalent"
"I E 634","I E 534 or equivalent."
"I E 642","I E 549 or M E 415"
"I E 671","I E 571 or I E 577 or IE 572"
"I E 681","I E 572 or I E 577 or PSYCH 516 or HCI/PSYCH 521 or equivalent"
"I E 690","Permission of the instructor"
"I E 697","Permission of department"
"I E 699",""
"INFAS 131",""
"INFAS 332",""
"INFAS 530","CPR E 381 or equivalent"
"INFAS 531","CPR E 489 or CPR E 530 or COM S 586 or MIS 535"
"INFAS 532","CPR E 531"
"INFAS 533","MATH 301 or CPR E 310 or COM S 330"
"INFAS 534","Graduate classification; CPR E 531 or INFAS 531"
"INFAS 535","E E 524 or MATH 317 or MATH 407 or COM S 330"
"INFAS 536","CPR E 489 or CPR E 530"
"INFAS 538","COM S 321 or CPR E 381, COM S 352 or CPR E 308"
"INFAS 592","Permission of instructor"
"INFAS 632","INFAS 531, INFAS 532, INFAS 534"
"INFAS 697","Permission of department, graduate classification"
"ARTIS 201",""
"ARTIS 202","Open to all students; sophomore level and above. Required of all ISA BFA majors"
"ARTIS 203","Open to all students; sophomore level and above. Required of all ISA BFA majors"
"ARTIS 204","Open to all students, sophomore level and above. Required of all ISA BFA majors"
"ARTIS 206","Open to all students, sophomore level and above. Required of all ISA BFA majors."
"ARTIS 208","DSN S 102, DSN S 131, and DSN S 183. Open to all students, sophomore level and above. Required for all ISA BFA majors."
"ARTIS 210","Open to all students, sophomore level and above. Required of all ISA BFA majors."
"ARTIS 212","Open to all students, sophomore level and above. Required of all ISA BFA majors."
"ARTIS 213","Open to all students, sophomore level and above. Required of all ISA BFA majors."
"ARTIS 214","Open to all students, sophomore level and above. Required of all ISA BFA majors."
"ARTIS 227","DSN S 102, DSN S 131 and DSN S 183 or permission of instructor."
"ARTIS 227H","DSN S 102, DSN S 131 and DSN S 183"
"ARTIS 229","DSN S 102, DSN S 131 and DSN S 183 or permission of instructor"
"ARTIS 229H","DSN S 102, DSN S 131 and DSN S 183 or permission of instructor"
"ARTIS 230","DSN S 102, DSN S 183 and DSN S 131"
"ARTIS 233","ARTIS 230"
"ARTIS 233H","ARTIS 230"
"ARTIS 238","ARTIS 230"
"ARTIS 238H","ARTIS 230"
"ARTIS 305","6 credits of 200 level studio"
"ARTIS 308","ARTIS 230 or permission of instructor"
"ARTIS 308H","ARTIS 230 or permission of instructor"
"ARTIS 310",""
"ARTIS 311",""
"ARTIS 319",""
"ARTIS 320","ARTIS 202 or permission of instructor."
"ARTIS 320H","ARTIS 202 or permission of instructor."
"ARTIS 322","ARTIS 204"
"ARTIS 322H","ARTIS 204"
"ARTIS 323","6 credits in art and design and 3 credits in biological sciences"
"ARTIS 324","ARTIS 203 or permission of instructor"
"ARTIS 324H","ARTIS 203 or permission of instructor"
"ARTIS 325","Open to ISA BFA majors"
"ARTIS 326","ARTIS 323"
"ARTIS 327","ARTIS 326"
"ARTIS 329","ARTIS 210 or ARTIS 229 or permission of instructor"
"ARTIS 329H","ARTIS 210 or ARTIS 229 or permission of instructor"
"ARTIS 330","ARTIS 230"
"ARTIS 330H","ARTIS 230"
"ARTIS 331","200 level ISA studio courses, or permission of instructor"
"ARTIS 335",""
"ARTIS 337","ARTIS 327"
"ARTIS 338","ARTIS 238 or ARTIS 213 and ARTIS 230"
"ARTIS 338H","ARTIS 238 or ARTIS 213 and ARTIS 230"
"ARTIS 345","ARTIS 214 or permission of instructor"
"ARTIS 345H","ARTIS 214 or permission of instructor"
"ARTIS 346","ARTIS 214 or permission of instructor"
"ARTIS 346H","ARTIS 214 or permission of instructor."
"ARTIS 347","ARTIS 214 or permission of instructor"
"ARTIS 347H","ARTIS 214 or permission of instructor"
"ARTIS 356","ARTIS 206 and ARTIS 230"
"ARTIS 356H","ARTIS 206 and ARTIS 230"
"ARTIS 357","ARTIS 206 and 230"
"ARTIS 357H","ARTIS 206 and ARTIS 230"
"ARTIS 358","ARTIS 206 and credit or enrollment in ARTIS 230"
"ARTIS 358H","ARTIS 206 and credit or enrollment in ARTIS 230"
"ARTIS 360",""
"ARTIS 362","Junior level standing in the University"
"ARTIS 363","ARTIS 362"
"ARTIS 375","ARTIS 212 or Permission of Instructor."
"ARTIS 399","Junior classification in ISA BFA curriculum."
"ARTIS 407","ARTIS 308"
"ARTIS 408","ARTIS 308"
"ARTIS 408H","ARTIS 308"
"ARTIS 409","Permission of instructor. Programming emphasis: COM S 227, COM S 228, COM S 229 or equivalent in engineering; art or graphics emphasis: ARTIS 230 and ARTIS 308; writing emphasis: an English course in creative writing or writing screen plays; business or marketing students: Junior classification"
"ARTIS 420","ARTIS 320"
"ARTIS 420H","ARTIS 320"
"ARTIS 422","ARTIS 322"
"ARTIS 422H","ARTIS 322"
"ARTIS 424","ARTIS 324 or permission of instructor"
